

软件版本	3.11.19



实验文件路径:	C:\Users\inlab\Desktop\AuNSs400-800.xpt
方案文件路径:	



板编号	板 7
日期	2023/7/18
时间	19:00:07
检测仪类型:	Epoch 2
检测仪序列号:	2205170B
检测类型	检测仪

程序详细信息

板类型	96 WELL PLATE
完成后弹出板	
检测	吸收光 光谱
	A1..A6
	开始: 400 nm,  停止: 800 nm,  步骤: 1 nm
	检测前校准
	检测速度: 正常,  延迟: 100 msec,  测量值/数据点: 8

Spectrum

波长	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
691	0.163	0.150	0.146	0.126	0.172	0.150																																																																																										
692	0.162	0.150	0.145	0.126	0.172	0.150																																																																																										
693	0.161	0.149	0.144	0.125	0.171	0.150																																																																																										
694	0.160	0.148	0.143	0.124	0.171	0.150																																																																																										
695	0.160	0.147	0.143	0.124	0.170	0.149																																																																																										
696	0.159	0.146	0.142	0.123	0.169	0.149																																																																																										
697	0.158	0.145	0.141	0.123	0.169	0.149																																																																																										
698	0.158	0.145	0.141	0.122	0.168	0.148																																																																																										
699	0.157	0.144	0.140	0.122	0.168	0.148																																																																																										
700	0.156	0.144	0.140	0.122	0.167	0.148																																																																																										
701	0.155	0.143	0.139	0.121	0.167	0.148																																																																																										
702	0.154	0.142	0.138	0.120	0.166	0.148																																																																																										
703	0.153	0.142	0.138	0.120	0.166	0.148																																																																																										
704	0.152	0.141	0.137	0.120	0.166	0.148																																																																																										
705	0.152	0.140	0.137	0.119	0.165	0.148																																																																																										
706	0.150	0.139	0.136	0.119	0.165	0.148																																																																																										
707	0.149	0.139	0.136	0.119	0.165	0.148																																																																																										
708	0.149	0.138	0.135	0.118	0.164	0.148																																																																																										
709	0.148	0.138	0.135	0.118	0.164	0.148																																																																																										
710	0.148	0.137	0.135	0.118	0.164	0.148																																																																																										
711	0.147	0.137	0.134	0.117	0.163	0.147																																																																																										
712	0.147	0.136	0.134	0.117	0.163	0.147																																																																																										
713	0.147	0.136	0.134	0.117	0.163	0.147																																																																																										
714	0.147	0.135	0.133	0.117	0.162	0.146																																																																																										
715	0.147	0.135	0.133	0.117	0.162	0.146																																																																																										
716	0.146	0.134	0.133	0.116	0.162	0.146																																																																																										
717	0.146	0.134	0.132	0.116	0.161	0.146																																																																																										
718	0.146	0.134	0.132	0.116	0.161	0.146																																																																																										
719	0.146	0.133	0.132	0.116	0.161	0.145																																																																																										
720	0.146	0.133	0.131	0.115	0.160	0.145																																																																																										
721	0.146	0.132	0.131	0.115	0.160	0.145																																																																																										
722	0.146	0.132	0.131	0.115	0.160	0.144																																																																																										
723	0.146	0.132	0.130	0.114	0.159	0.144																																																																																										
724	0.145	0.131	0.130	0.114	0.159	0.144																																																																																										
725	0.145	0.131	0.130	0.114	0.159	0.144																																																																																										
726	0.145	0.131	0.130	0.114	0.159	0.144																																																																																										
727	0.145	0.131	0.129	0.114	0.159	0.143																																																																																										
728	0.144	0.131	0.129	0.114	0.159	0.143																																																																																										
729	0.144	0.131	0.129	0.114	0.158	0.143																																																																																										
730	0.144	0.131	0.129	0.114	0.158	0.143																																																																																										
731	0.144	0.131	0.129	0.114	0.158	0.143																																																																																										
732	0.144	0.130	0.129	0.114	0.158	0.142																																																																																										
733	0.144	0.130	0.129	0.114	0.158	0.142																																																																																										
734	0.144	0.131	0.129	0.114	0.158	0.142																																																																																										
735	0.144	0.130	0.129	0.114	0.158	0.142																																																																																										
736	0.143	0.130	0.128	0.114	0.158	0.141																																																																																										
737	0.143	0.130	0.128	0.114	0.158	0.141																																																																																										
738	0.143	0.130	0.128	0.114	0.158	0.141																																																																																										
739	0.143	0.129	0.128	0.113	0.157	0.141																																																																																										
740	0.142	0.129	0.127	0.113	0.157	0.141																																																																																										
741	0.142	0.129	0.127	0.113	0.157	0.141																																																																																										
742	0.142	0.128	0.127	0.113	0.156	0.141																																																																																										
743	0.141	0.128	0.127	0.113	0.156	0.140																																																																																										
744	0.141	0.128	0.126	0.112	0.155	0.140																																																																																										
745	0.140	0.127	0.126	0.112	0.155	0.140																																																																																										
746	0.140	0.127	0.125	0.112	0.155	0.140																																																																																										
747	0.139	0.126	0.125	0.111	0.154	0.140																																																																																										
748	0.139	0.126	0.125	0.111	0.154	0.140																																																																																										
749	0.139	0.126	0.124	0.111	0.153	0.139																																																																																										
750	0.138	0.125	0.124	0.111	0.153	0.139																																																																																										
751	0.138	0.125	0.124	0.110	0.153	0.139																																																																																										
752	0.137	0.125	0.123	0.110	0.153	0.139																																																																																										
