

软件版本	3.11.19



实验文件路径:	C:\Users\inlab\Desktop\AuNSs400-800.xpt
方案文件路径:	



板编号	板 3
日期	2023/6/29
时间	9:22:19
检测仪类型:	Epoch 2
检测仪序列号:	2205170B
检测类型	检测仪

程序详细信息

板类型	96 WELL PLATE
完成后弹出板	
检测	吸收光 光谱
	A1..A6
	开始: 400 nm,  停止: 800 nm,  步骤: 1 nm
	检测前校准
	检测速度: 正常,  延迟: 100 msec,  测量值/数据点: 8

Spectrum

波长	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
579	1.238	1.044	1.153	0.613	0.792	0.162																																																																																										
580	1.213	1.021	1.128	0.605	0.781	0.162																																																																																										
581	1.189	1.000	1.104	0.597	0.770	0.162																																																																																										
582	1.165	0.979	1.082	0.590	0.759	0.162																																																																																										
583	1.141	0.958	1.058	0.582	0.748	0.162																																																																																										
584	1.117	0.937	1.035	0.574	0.736	0.162																																																																																										
585	1.094	0.917	1.013	0.566	0.726	0.162																																																																																										
586	1.071	0.897	0.991	0.558	0.715	0.162																																																																																										
587	1.049	0.877	0.969	0.551	0.705	0.162																																																																																										
588	1.032	0.863	0.954	0.545	0.697	0.163																																																																																										
589	1.012	0.846	0.934	0.538	0.687	0.162																																																																																										
590	0.993	0.829	0.916	0.531	0.678	0.163																																																																																										
591	0.974	0.812	0.898	0.525	0.669	0.163																																																																																										
592	0.956	0.796	0.879	0.518	0.659	0.162																																																																																										
593	0.938	0.782	0.863	0.512	0.651	0.162																																																																																										
594	0.919	0.766	0.846	0.505	0.642	0.162																																																																																										
595	0.902	0.751	0.829	0.499	0.633	0.162																																																																																										
596	0.885	0.737	0.813	0.492	0.625	0.162																																																																																										
597	0.870	0.724	0.799	0.487	0.618	0.162																																																																																										
598	0.855	0.712	0.785	0.481	0.610	0.162																																																																																										
599	0.840	0.699	0.771	0.476	0.603	0.162																																																																																										
600	0.823	0.685	0.756	0.470	0.595	0.162																																																																																										
601	0.807	0.671	0.740	0.463	0.586	0.162																																																																																										
602	0.790	0.658	0.725	0.457	0.578	0.162																																																																																										
603	0.777	0.647	0.713	0.452	0.571	0.162																																																																																										
604	0.764	0.636	0.701	0.447	0.564	0.162																																																																																										
605	0.754	0.627	0.692	0.442	0.559	0.162																																																																																										
606	0.742	0.618	0.680	0.438	0.553	0.162																																																																																										
607	0.729	0.608	0.670	0.433	0.547	0.162																																																																																										
608	0.716	0.597	0.657	0.427	0.540	0.161																																																																																										
609	0.704	0.587	0.646	0.422	0.534	0.161																																																																																										
610	0.693	0.578	0.636	0.417	0.528	0.161																																																																																										
611	0.682	0.569	0.627	0.413	0.523	0.161																																																																																										
612	0.672	0.560	0.617	0.409	0.517	0.161																																																																																										
613	0.661	0.552	0.607	0.404	0.511	0.161																																																																																										
614	0.650	0.543	0.597	0.400	0.506	0.161																																																																																										
615	0.639	0.534	0.588	0.395	0.500	0.161																																																																																										
616	0.629	0.526	0.579	0.390	0.495	0.160																																																																																										
617	0.619	0.518	0.570	0.386	0.490	0.160																																																																																										
618	0.609	0.511	0.561	0.382	0.485	0.160																																																																																										
619	0.601	0.504	0.553	0.378	0.480	0.160																																																																																										
620	0.590	0.495	0.544	0.373	0.474	0.160																																																																																										
621	0.581	0.488	0.536	0.369	0.470	0.160																																																																																										
622	0.572	0.481	0.528	0.365	0.465	0.160																																																																																										
623	0.563	0.474	0.521	0.361	0.461	0.160																																																																																										
624	0.555	0.468	0.514	0.357	0.456	0.160																																																																																										
625	0.548	0.462	0.508	0.354	0.453	0.159																																																																																										
626	0.540	0.456	0.501	0.350	0.448	0.159																																																																																										
627	0.533	0.450	0.494	0.347	0.444	0.159																																																																																										
628	0.526	0.445	0.488	0.343	0.440	0.159																																																																																										
629	0.518	0.439	0.482	0.340	0.437	0.159																																																																																										
630	0.511	0.433	0.476	0.337	0.433	0.159																																																																																										
631	0.504	0.428	0.469	0.333	0.429	0.158																																																																																										
632	0.497	0.422	0.464	0.330	0.425	0.158																																																																																										
633	0.491	0.417	0.458	0.327	0.422	0.158																																																																																										
634	0.484	0.412	0.453	0.324	0.418	0.158																																																																																										
635	0.478	0.407	0.447	0.321	0.415	0.158																																																																																										
636	0.472	0.402	0.442	0.318	0.411	0.157																																																																																										
637	0.466	0.398	0.437	0.315	0.408	0.157																																																																																										
638	0.460	0.393	0.431	0.312	0.405	0.157																																																																																										
639	0.454	0.388	0.426	0.309	0.402	0.157																																																																																										
640	0.448	0.384	0.421	0.306	0.399	0.157																																																																																										
641	0.443	0.379	0.417	0.303	0.396	0.157																																																																																										
642	0.436	0.375	0.412	0.300	0.392	0.156																																																																																										
643	0.431	0.370	0.407	0.297	0.390	0.156																																																																																										
644	0.426	0.366	0.402	0.295	0.387	0.156																																																																																										
645	0.421	0.362	0.398	0.292	0.384	0.155																																																																																										
646	0.416	0.358	0.393	0.290	0.381	0.155																																																																																										
647	0.411	0.354	0.389	0.287	0.378	0.155																																																																																										
648	0.406	0.350	0.385	0.285	0.375	0.155																																																																																										
649	0.401	0.346	0.381	0.282	0.373	0.155																																																																																										
650	0.396	0.342	0.376	0.280	0.370	0.154																																																																																										
651	0.392	0.339	0.373	0.278	0.367	0.154																																																																																										
652	0.388	0.336	0.369	0.275	0.365	0.154																																																																																										
653	0.384	0.333	0.366	0.274	0.363	0.154																																																																																										
654	0.380	0.329	0.362	0.271	0.360	0.153																																																																																										
655	0.376	0.326	0.358	0.269	0.358	0.153																																																																																										
656	0.371	0.322	0.354	0.267	0.356	0.153																																																																																										
657	0.367	0.319	0.350	0.265	0.353	0.153																																																																																										
658	0.363	0.315	0.347	0.262	0.351	0.152																																																																																										
